PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,Efficiency,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TS_PCT,USG_PCT,EFG_PCT,PACE,PACE_PER40
1631260,AJ Green,AJ,1610612749,MIL,26.0,25,10,15,40.0,28.8,3.5,7.2,48.6,3.2,6.6,48.5,0.8,1.0,79.2,0.0,2.7,2.8,2.1,0.8,0.6,0.1,0.2,2.7,1.4,11.0,0.3,18.6,0,0,20.4,98,196,66,319,112,194,209,196,12,40,35,295,308,207,466,206,266,185,272,286,359,302,62,229,168,220,225,161,21,187,1,0.41,116.6,116.2,0.4,9.4,2.48,19.8,0.1,9.5,4.9,71.8,12.5,70.7,100.96,84.13
1642358,AJ Johnson,AJ,1610612764,WAS,21.0,11,0,11,0.0,4.4,0.2,1.4,13.3,0.0,0.3,0.0,0.3,0.4,75.0,0.2,0.5,0.6,0.5,0.2,0.0,0.0,0.5,0.4,0.3,0.6,-1.5,1.9,0,0,1.7,370,480,150,480,464,488,460,489,426,442,426,401,411,265,441,463,466,420,446,457,422,182,474,432,487,310,488,161,21,491,1,-0.04,96.0,115.3,-19.3,14.7,2.5,20.8,3.7,9.6,6.6,20.9,16.4,13.3,98.11,81.76
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,76.9,28.3,6.3,11.8,53.2,2.2,4.8,44.4,4.0,4.6,86.7,1.5,4.5,5.9,1.3,1.4,0.8,0.2,0.4,1.8,3.4,18.8,12.7,29.5,2,0,30.2,341,196,401,52,122,73,98,90,70,108,54,46,51,92,102,77,75,286,162,196,265,221,234,69,58,3,105,75,21,90,1,0.88,125.7,105.0,20.7,6.2,0.94,7.9,5.3,14.7,10.2,67.6,22.1,62.3,101.0,84.17
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,19,14,5,73.7,16.4,2.7,6.0,45.6,1.8,4.1,44.9,1.3,1.5,86.2,0.1,0.8,0.9,1.1,0.8,0.4,0.2,0.2,1.4,1.4,8.6,3.9,12.3,0,0,13.7,247,93,345,80,297,251,249,257,100,156,52,198,225,95,461,422,443,314,270,347,332,328,322,222,214,66,314,161,21,291,1,0.23,119.2,106.5,12.7,9.3,1.31,12.9,0.7,4.7,2.8,64.7,18.7,61.0,100.97,84.14
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,9.1,30.4,4.9,13.4,36.7,2.8,7.5,37.3,2.8,3.5,79.5,1.5,2.9,4.5,1.5,0.7,0.8,0.3,0.9,2.5,3.5,15.5,-3.9,25.7,0,0,26.5,370,453,190,478,83,124,73,414,23,21,166,86,89,202,91,187,148,252,309,167,239,39,96,65,97,420,137,161,21,121,1,0.65,109.6,116.6,-7.0,7.9,2.13,9.1,4.2,9.9,6.7,51.8,19.9,47.3,102.3,85.25
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,16,14,2,87.5,24.1,4.5,9.9,45.6,2.2,5.4,40.7,0.7,0.9,73.3,0.8,2.4,3.1,1.8,1.1,0.6,0.6,0.3,2.1,0.7,11.9,8.2,20.6,0,0,21.3,311,93,423,32,190,141,131,258,69,81,103,309,313,286,232,228,243,215,196,284,109,265,185,350,154,19,189,161,21,178,1,0.62,118.5,101.4,17.1,10.2,1.61,13.7,3.3,8.9,6.3,57.7,20.0,56.6,102.64,85.53
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,26,10,16,38.5,23.7,4.1,9.2,44.2,1.5,4.2,35.8,0.7,1.1,67.9,1.4,1.9,3.3,1.7,1.3,0.8,0.4,0.2,2.6,1.0,10.4,-5.0,18.9,0,0,19.1,57,196,51,338,194,164,150,293,137,150,200,301,292,351,114,285,228,233,167,196,176,340,78,281,179,458,220,161,21,207,1,0.32,111.6,121.5,-9.9,10.2,1.23,13.0,5.3,8.0,6.5,53.5,18.6,52.3,104.38,86.98
1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,64.7,16.1,1.3,2.4,55.0,0.1,0.2,33.3,0.8,1.4,58.3,1.5,2.2,3.7,0.2,0.7,0.4,1.5,0.2,1.9,1.4,3.5,0.6,13.1,0,0,11.2,288,166,299,131,301,377,411,78,418,450,246,286,241,405,93,250,197,462,313,366,15,308,224,223,380,201,306,161,21,325,1,0.31,112.2,109.5,2.6,1.4,0.25,4.6,9.0,12.1,10.6,58.3,9.2,56.3,102.96,85.8
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,10,7,3,70.0,5.5,0.3,0.7,42.9,0.0,0.0,0.0,0.4,0.5,80.0,0.4,0.3,0.7,0.1,0.3,0.3,0.0,0.1,1.2,0.3,1.0,-1.4,2.6,0,0,2.4,385,267,401,102,451,483,483,325,426,460,426,371,376,181,349,474,459,472,424,392,422,408,356,426,478,296,479,161,21,482,1,0.05,119.8,130.8,-10.9,2.4,0.33,7.7,8.2,7.5,7.9,54.3,9.4,42.9,101.52,84.6
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,27,25,2,92.6,26.3,5.0,10.8,46.7,1.1,3.1,35.3,2.9,3.3,88.6,0.6,2.9,3.5,3.7,1.6,1.5,0.3,0.5,2.0,3.2,14.1,10.6,27.6,1,0,25.9,18,1,423,22,152,120,113,233,195,201,212,84,99,69,289,184,215,84,135,32,224,171,192,79,110,11,121,108,21,129,1,0.35,117.0,98.4,18.6,19.5,2.38,21.4,2.2,10.1,6.4,57.6,21.7,51.9,103.15,85.96
201143,Al Horford,Al,1610612744,GSW,39.0,13,7,6,53.8,21.5,1.9,6.0,32.1,1.3,4.4,29.8,0.5,0.5,100.0,0.8,3.5,4.4,2.0,1.2,1.0,1.0,0.2,1.5,0.5,5.6,-3.8,18.6,0,0,17.3,341,267,299,222,224,318,249,463,165,141,327,358,387,1,206,132,150,191,177,104,44,312,314,394,305,417,224,161,21,230,1,0.59,106.9,114.5,-7.6,13.9,1.63,21.1,3.7,16.7,9.9,45.3,14.4,42.9,102.82,85.68
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,18,17,1,94.4,18.6,2.1,5.1,41.8,1.1,3.0,35.2,0.4,0.6,80.0,0.6,2.0,2.6,2.5,0.9,1.9,0.3,0.4,1.3,0.8,5.7,11.9,18.2,0,0,16.2,263,31,450,16,259,298,281,349,208,209,218,367,372,181,270,264,284,150,252,7,237,219,342,320,302,6,232,161,21,246,1,0.45,123.8,93.6,30.2,15.8,2.65,28.7,3.5,10.3,7.1,54.0,13.9,52.2,104.83,87.36
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,17,2,15,11.8,29.3,7.8,15.2,51.0,1.2,3.3,35.7,2.3,3.6,63.9,2.3,6.0,8.3,3.2,2.0,0.8,1.9,1.5,1.9,3.1,19.0,-7.0,39.9,6,0,37.1,288,422,66,474,100,33,45,122,185,193,202,107,87,379,38,27,27,107,81,200,3,3,224,85,56,476,32,29,21,36,1,1.05,109.0,120.4,-11.3,18.0,1.62,14.7,7.5,18.8,13.3,56.5,26.6,54.8,103.04,85.87
