PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,0,2,0.0,8.2,119.5,121.9,121.9,138.1,139.4,139.4,-18.6,-17.5,-17.5,0.0,0.0,0.0,0.067,0.211,0.147,0.0,0.0,0.5,0.551,0.314,0.314,96.83,95.42,79.52,95.42,0.078,32,4,10,2.0,5.0,0.4,475,480,52,480,418,59,38,38,493,495,495,463,456,456,477,454,477,127,46,49,1,1,337,315,14,18,473,492,492,303,440,439,310,282,373,1
1631260,AJ Green,AJ,1610612749,MIL,26.0,25,10,15,0.4,28.8,115.8,116.6,116.6,114.2,116.2,116.2,1.6,0.4,0.4,0.094,2.48,19.8,0.001,0.095,0.049,8.0,7.9,0.707,0.718,0.125,0.129,102.17,100.96,84.13,100.96,0.07,1515,88,181,3.5,7.2,0.486,98,196,411,319,112,127,119,119,302,353,353,203,221,221,321,99,185,467,335,423,139,139,28,26,409,414,282,355,355,348,149,156,194,209,196,1
1642358,AJ Johnson,AJ,1610612764,WAS,21.0,11,0,11,0.0,4.4,94.5,96.0,96.0,118.5,115.3,115.3,-24.0,-19.3,-19.3,0.147,2.5,20.8,0.037,0.096,0.066,8.3,8.4,0.133,0.209,0.164,0.167,97.58,98.11,81.76,98.11,-0.011,100,2,15,0.2,1.4,0.133,370,480,312,480,464,472,464,464,422,325,325,476,464,464,196,94,166,243,331,321,158,166,489,487,277,284,464,464,464,489,461,422,488,460,489,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,124.9,125.7,125.7,105.1,105.0,105.0,19.8,20.7,20.7,0.062,0.94,7.9,0.053,0.147,0.102,8.4,8.4,0.623,0.676,0.221,0.228,101.34,101.0,84.17,101.0,0.13,777,82,154,6.3,11.8,0.532,341,196,79,52,122,22,15,15,73,71,71,28,25,25,414,402,450,160,153,147,164,162,75,51,106,104,340,351,351,71,164,199,73,98,90,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,19,14,5,0.737,16.4,119.5,119.2,119.2,108.0,106.5,106.5,11.5,12.7,12.7,0.093,1.31,12.9,0.007,0.047,0.028,9.8,9.8,0.61,0.647,0.187,0.195,100.13,100.97,84.14,100.97,0.082,651,52,114,2.7,6.0,0.456,247,93,130,80,297,57,72,72,117,93,93,57,51,51,322,321,361,462,471,480,245,242,91,83,195,186,407,354,354,282,250,248,251,249,257,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,107.9,109.6,109.6,113.2,116.6,116.6,-5.3,-7.0,-7.0,0.079,2.13,9.1,0.042,0.099,0.067,4.3,4.2,0.473,0.518,0.199,0.207,104.63,102.3,85.25,102.3,0.079,716,54,147,4.9,13.4,0.367,370,453,280,478,83,357,312,312,278,374,374,329,354,354,375,151,438,215,322,307,50,50,393,377,154,147,111,252,252,295,242,207,124,73,414,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,16,14,2,0.875,24.1,119.2,118.5,118.5,103.0,101.4,101.4,16.2,17.1,17.1,0.102,1.61,13.7,0.033,0.089,0.063,8.5,8.5,0.566,0.577,0.2,0.204,101.59,102.64,85.53,102.64,0.085,821,72,158,4.5,9.9,0.456,311,93,52,32,190,64,85,85,50,45,45,40,36,36,293,254,340,278,362,347,168,170,173,232,151,154,326,230,230,264,192,195,141,131,258,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,26,10,16,0.385,23.7,110.3,111.6,111.6,120.6,121.5,121.5,-10.3,-9.9,-9.9,0.102,1.23,13.0,0.053,0.08,0.065,10.6,10.6,0.523,0.535,0.186,0.19,105.39,104.38,86.98,104.38,0.057,1341,106,240,4.1,9.2,0.442,57,196,436,338,194,286,256,256,453,458,458,408,397,397,292,339,356,160,397,326,289,289,288,350,198,206,84,120,120,397,120,103,164,150,293,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,110.4,112.2,112.2,108.5,109.5,109.5,1.9,2.6,2.6,0.014,0.25,4.6,0.09,0.121,0.106,18.5,18.3,0.563,0.583,0.092,0.095,104.3,102.96,85.8,102.96,0.054,584,22,40,1.3,2.4,0.55,288,166,157,131,301,284,236,236,130,153,153,198,175,175,472,449,470,76,237,137,471,468,179,209,472,473,132,205,205,408,352,361,377,411,78,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,10,7,3,0.7,5.5,123.2,119.8,119.8,133.9,130.8,130.8,-10.7,-10.9,-10.9,0.024,0.33,7.7,0.082,0.075,0.079,23.1,22.7,0.429,0.543,0.094,0.1,98.94,101.52,84.6,101.52,-0.004,116,3,7,0.3,0.7,0.429,385,267,79,102,451,34,61,61,490,490,490,413,410,410,470,445,451,88,418,243,491,491,434,331,469,467,440,309,309,487,449,454,483,483,325,1
